CorporatePriority,NumberOfProjects,16_17GrossExpenditureForecast,16_17IncomeForecast,16_17NetProgrammeExpenditureForecast,StaffNumbersFTEs,16_17NetAdminExpenditureForecast,NonDiscretionaryUKS,PercentageOfDiscretionaryExpenditure
Official controls - SRM,1.0,2968182.14,NaN,2968182.14,98.0,NaN,2968182.14,NaN
Official Controls - Meat / Other,7.0,5.742698526E7,-3.05694589E7,2.685752636E7,891.0,NaN,2.685752636E7,NaN
Official Controls - Shellfish,9.0,1928257.08,NaN,1928257.08,19.0,NaN,1928257.08,NaN
Official Controls - Feed,18.0,1726679.2,NaN,1726679.2,41.0,NaN,1726679.2,NaN
Official Controls - Radiological,8.0,1453938.82,-1170038.74,283900.08,8.0,NaN,283900.08,NaN
Official Controls - Milk,1.0,785482.36,NaN,785482.36,9.0,NaN,785482.36,NaN
Meat policy,4.0,157296.76,NaN,157296.76,9.0,NaN,NaN,0.0
Grants,4.0,3743268.37,NaN,3743268.37,14.0,NaN,NaN,0.06
Local Authority Support,20.0,605460.73,NaN,605460.73,0.0,NaN,NaN,0.01
Nutrition,6.0,796011.87,NaN,796011.87,7.0,NaN,NaN,0.01
Campylobacter,10.0,511991.05,NaN,511991.05,14.0,NaN,NaN,0.01
Change: campylobacter,4.0,851743.56,NaN,851743.56,0.0,NaN,NaN,0.01
Allergens,15.0,892992.87,NaN,892992.87,7.0,NaN,NaN,0.01
Reduce food borne disease using targeted approach - tackling Campylobacter in chicken as a priority,23.0,1872012.02,NaN,1872012.02,28.0,NaN,NaN,0.03
Increase horizon scanning and improve forensic knowledge of, and intelligence on, global food chain,41.0,3739002.6,NaN,3739002.6,54.0,NaN,NaN,0.06
Improve public awareness re good food hygiene practice at home,26.0,1522133.12,NaN,1522133.12,21.0,NaN,NaN,0.03
Secure more proportionate, risk based and effective regulation by strengthening engagement,5.0,230695.75,NaN,230695.75,20.0,NaN,NaN,0.0
Science, Evidence & Research,34.0,1155356.4,NaN,1155356.4,0.0,NaN,NaN,0.02
Change Operations Digital Data,0.0,0.0,NaN,0.0,4.0,NaN,NaN,0.0
Change: FHRS (New Strategy),3.0,58500.6,NaN,58500.6,0.0,NaN,NaN,0.0
Change: Regulatory Strategy,0.0,0.0,NaN,0.0,0.0,NaN,NaN,0.0
Change: Stand alone project,0.0,0.0,NaN,0.0,0.0,NaN,NaN,0.0
BAU 3rd Party Contracts & SLAs ,1.0,0.43,NaN,0.43,0.0,NaN,NaN,0.0
Other,38.0,1609000.88,NaN,1609000.88,3.0,NaN,NaN,0.03
AME - excluded from report in D6,NaN,0.0,NaN,0.0,0.0,0.0,NaN,0.0
Policy & Devolved,NaN,1.630112523E7,-177155.34,NaN,64.0,1.612396989E7,NaN,0.27
Corporate Services Westminster ,NaN,3.118125566E7,-7126495.44,0.0,215.0,2.405476022E7,NaN,0.4
Depreciation,NaN,2036842.04,NaN,0.0,NaN,2036842.04,NaN,0.03
