Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,19/02/2016,Mobile Line Rental - Other Programme Costs,"Trade Group - Managing Director, Trade Group",VODAFONE LTD,78068,4.80 ,,RG14 1LA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,19/02/2016,Telecoms - Non-Specific Programme activity,Investment Development - Global Operations,VODAFONE LTD,107192,4.80 ,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,17/02/2016,Other Professional Services - Non-Specific Programme activity,Investment Development - Strategic Investment & Accounts,BROOK STREET (UK) LTD,111135,829.26 ,,AL1 4ZX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,10/02/2016,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Operations Directorate,BROOK STREET (UK) LTD,114483,620.29 ,,AL1 4ZX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/02/2016,Mobile Line Rental - UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,118767,4.80 ,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,24/02/2016,Other Training Costs - Non-Specific Programme activity (Admin),Chief Operating Officer - Strategy & Human Resources,CAPITA BUSINESS SERVICES LTD,122781,"1,673.00 ",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,24/02/2016,Other Training Costs - Non-Specific Programme activity (Admin),Chief Operating Officer - Strategy & Human Resources,CAPITA BUSINESS SERVICES LTD,125918,"-1,673.00 ",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,10/02/2016,Subsistence UK - Default,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",127102,9.28 ,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,10/02/2016,Taxi Services UK - Default,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",127102,94.69 ,,,EMPLOYEE,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,127444,4.80 ,,RG14 5FF,VENDOR,,,Programme
