critere,question,reponse,2a,2b
Caractéristiques de la Collectivité,Q2. Quelle est votre fonction au sein de votre Collectivité ?,Maire, Président(e),43.0,83.0
Equipement TIC de votre Collectivité - Connexion Internet,Q25. Sur les [Q12] postes de votre entreprise, combien ont-ils accès à Internet ?,10,0.0,1.0
Equipement TIC de votre Collectivité - Connexion Internet,Q26. Les différents sites de la Collectivité sont-ils reliés entre eux, en réseau (réseau privatif de la Collectivité) ?,NON,6.0,19.0
Equipement TIC de votre Collectivité - e-mail,Q28. Quel type d’adresse mail utilisez-vous ?,Adresse mail générique avec le nom de domaine de votre fournisseur d’accès, donc sans référence à la collectivité,3.0,5.0
Equipement TIC de votre Collectivité - Site web,Q33. Votre site a-t-il été développé…,Par un bénévole,0.0,7.0
Equipement TIC de votre Collectivité - Site web,Q35.k. Votre site comporte-t-il les éléments suivants :-Des données numériques produites par la collectivité laissées en libre accès ou partagées dans le cadre d’une démarche d’open data,NON,20.0,43.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.a. La Collectivité est-elle équipée ou utilise-t-elle :-Un outil de gestion des délibérations,NON mais c est en projet,6.0,15.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.i. La Collectivité est-elle équipée ou utilise-t-elle :-Un système numérique de gestion du cadastre,NON mais c est en projet,5.0,3.0
Equipement TIC de votre Collectivité - Open data,Q49.b. Si en projet, à quelle échéance pensez-vous en disposer ?,Ne sais pas,4.0,5.0
Perception de l importance des TIC et attentes en la matière,Q56.b. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l intention d investir dansles technologies de l information et de la communication dans le but…-De développer les relations électroniques avec vos administrés,OUI,26.0,69.0
Equipement TIC de votre Collectivité - Téléphonie mobile,Q9. Combien la Collectivité a-t-elle souscrit de lignes de téléphonie mobile ?,5+,6.0,5.0
Equipement TIC de votre Collectivité - Ordinateurs,Q13. A quand remonte le dernier achat d un ordinateurpar la Collectivité?,Plus de 3 ans,10.0,19.0
Equipement TIC de votre Collectivité - Serveurs et réseau,Q17. La Collectivité dispose-t-elle d un ou plusieurs serveurs ?,OUI,14.0,28.0
Equipement TIC de votre Collectivité - Connexion Internet,Q20. S agit-il d une connexion…,Haut débit par la ligne téléphonique (type ADSL de bonne qualité),39.0,82.0
Equipement TIC de votre Collectivité - Connexion Internet,Q23. Diriez-vous que par rapport à vos usages d Internet, le débit dont vous disposez sur votre connexion est…,Plutôt satisfaisant,30.0,56.0
Equipement TIC de votre Collectivité - Site web,Q35.d. Votre site comporte-t-il les éléments suivants :-Un formulaire pour entrer en contact avec les élus ou les services de la collectivité,NON,11.0,31.0
Equipement TIC de votre Collectivité - Site web,Q38. Quel est environ le budget annuel consacré au fonctionnementdu site Internet (hébergement, maintenance, mise à jour) ?,De 1 000 à moins de 2 000€,2.0,10.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.b. La Collectivité est-elle équipée ou utilise-t-elle :-Un logiciel de gestion budgétaire de la Collectivité,OUI,49.0,89.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.c. La Collectivité est-elle équipée ou utilise-t-elle :-Un logiciel dédié à la paie et à la gestion des RH,NON,6.0,23.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.h. La Collectivité est-elle équipée ou utilise-t-elle :-Un outil de web-conférence ou de visio-conférence,NON,42.0,89.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.c. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -La Sous-préfecture ou Préfecture,OUI,22.0,32.0
Perception de l importance des TIC et attentes en la matière,Q52.c. Etes-vous d accord avec les affirmations suivantes:-Ces technologies permettent d améliorer fortement la qualité du service apporté au public,Tout à fait d accord,26.0,38.0
Caractéristiques de la Collectivité,Q1. Nombre d agents,De 3 à moins de 11,24.0,34.0
Equipement TIC de votre Collectivité - Téléphonie mobile,Q9. Combien la Collectivité a-t-elle souscrit de lignes de téléphonie mobile ?,1,5.0,21.0
Equipement TIC de votre Collectivité - Equipement logiciel,Q18. La Collectivité utilise-t-elle des logiciels libres du type : système d exploitation Linux, suites bureautiquescomme OpenOffice ?,OUI,21.0,47.0
Equipement TIC de votre Collectivité - Site web,Q32. Diriez-vous que vous modifiez ou mettez à jour votre site…,Quotidiennement,2.0,3.0
Equipement TIC de votre Collectivité - Site web,Q35.f. Votre site comporte-t-il les éléments suivants :-Des informations sur les projets de la collectivité,NON,5.0,16.0
Equipement TIC de votre Collectivité - Site web,Q35.i. Votre site comporte-t-il les éléments suivants :-Des liens vers d autres institutions (département, CTC, etc.),NON,13.0,33.0
Equipement TIC de votre Collectivité - Site web,Q35.k. Votre site comporte-t-il les éléments suivants :-Des données numériques produites par la collectivité laissées en libre accès ou partagées dans le cadre d’une démarche d’open data,OUI,4.0,1.0
Equipement TIC de votre Collectivité - Site web,Q35.o. Votre site comporte-t-il les éléments suivants :-La possibilité de s inscrire à des activités ou manifestations,NON,19.0,45.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.a. La Collectivité est-elle équipée ou utilise-t-elle :-Un outil de gestion des délibérations,OUI,17.0,31.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.e. La Collectivité est-elle équipée ou utilise-t-elle :-Un Intranet (système d information interne sur une interface web à l usage des agents et élus),NON mais c est en projet,9.0,6.0
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.b. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -Le Département,OUI,10.0,7.0
